y	x	key	showSelected1	showSelected2	PANEL
0	118093.872	McGill0002 118093872	McGill0002	1	1
0	118093.872	McGill0002 118093872	McGill0002	2	1
0	118122.158	McGill0002 118122158	McGill0002	2	1
0	118093.872	McGill0002 118093872	McGill0002	3	1
0	118109.669	McGill0002 118109669	McGill0002	3	1
0	118122.138	McGill0002 118122138	McGill0002	3	1
0	118093.877	McGill0002 118093877	McGill0002	4	1
0	118100.519	McGill0002 118100519	McGill0002	4	1
0	118108.529	McGill0002 118108529	McGill0002	4	1
0	118122.138	McGill0002 118122138	McGill0002	4	1
0	118093.877	McGill0002 118093877	McGill0002	5	1
0	118100.519	McGill0002 118100519	McGill0002	5	1
0	118108.529	McGill0002 118108529	McGill0002	5	1
0	118122.138	McGill0002 118122138	McGill0002	5	1
0	118123.772	McGill0002 118123772	McGill0002	5	1
0	118093.877	McGill0002 118093877	McGill0002	6	1
0	118095.956	McGill0002 118095956	McGill0002	6	1
0	118099.638	McGill0002 118099638	McGill0002	6	1
0	118108.529	McGill0002 118108529	McGill0002	6	1
0	118122.138	McGill0002 118122138	McGill0002	6	1
0	118123.772	McGill0002 118123772	McGill0002	6	1
0	118093.121	McGill0002 118093121	McGill0002	7	1
0	118093.898	McGill0002 118093898	McGill0002	7	1
0	118095.956	McGill0002 118095956	McGill0002	7	1
0	118099.638	McGill0002 118099638	McGill0002	7	1
0	118108.529	McGill0002 118108529	McGill0002	7	1
0	118122.138	McGill0002 118122138	McGill0002	7	1
0	118123.772	McGill0002 118123772	McGill0002	7	1
0	118093.877	McGill0002 118093877	McGill0002	8	1
0	118095.956	McGill0002 118095956	McGill0002	8	1
0	118099.638	McGill0002 118099638	McGill0002	8	1
0	118108.529	McGill0002 118108529	McGill0002	8	1
0	118109.847	McGill0002 118109847	McGill0002	8	1
0	118111.712	McGill0002 118111712	McGill0002	8	1
0	118122.138	McGill0002 118122138	McGill0002	8	1
0	118123.772	McGill0002 118123772	McGill0002	8	1
0	118093.121	McGill0002 118093121	McGill0002	9	1
0	118093.898	McGill0002 118093898	McGill0002	9	1
0	118095.956	McGill0002 118095956	McGill0002	9	1
0	118099.638	McGill0002 118099638	McGill0002	9	1
0	118108.529	McGill0002 118108529	McGill0002	9	1
0	118109.847	McGill0002 118109847	McGill0002	9	1
0	118111.712	McGill0002 118111712	McGill0002	9	1
0	118122.138	McGill0002 118122138	McGill0002	9	1
0	118123.772	McGill0002 118123772	McGill0002	9	1
0	118122.102	McGill0091 118122102	McGill0091	1	2
0	118098.697	McGill0091 118098697	McGill0091	2	2
0	118122.102	McGill0091 118122102	McGill0091	2	2
0	118098.697	McGill0091 118098697	McGill0091	3	2
0	118120.464	McGill0091 118120464	McGill0091	3	2
0	118122.118	McGill0091 118122118	McGill0091	3	2
0	118098.697	McGill0091 118098697	McGill0091	4	2
0	118122.104	McGill0091 118122104	McGill0091	4	2
0	118123.132	McGill0091 118123132	McGill0091	4	2
0	118123.773	McGill0091 118123773	McGill0091	4	2
0	118098.697	McGill0091 118098697	McGill0091	5	2
0	118120.464	McGill0091 118120464	McGill0091	5	2
0	118122.126	McGill0091 118122126	McGill0091	5	2
0	118123.132	McGill0091 118123132	McGill0091	5	2
0	118123.773	McGill0091 118123773	McGill0091	5	2
0	118098.697	McGill0091 118098697	McGill0091	6	2
0	118100.037	McGill0091 118100037	McGill0091	6	2
0	118120.464	McGill0091 118120464	McGill0091	6	2
0	118122.126	McGill0091 118122126	McGill0091	6	2
0	118123.132	McGill0091 118123132	McGill0091	6	2
0	118123.773	McGill0091 118123773	McGill0091	6	2
0	118098.697	McGill0091 118098697	McGill0091	7	2
0	118100.037	McGill0091 118100037	McGill0091	7	2
0	118120.464	McGill0091 118120464	McGill0091	7	2
0	118122.126	McGill0091 118122126	McGill0091	7	2
0	118123.132	McGill0091 118123132	McGill0091	7	2
0	118123.773	McGill0091 118123773	McGill0091	7	2
0	118124.688	McGill0091 118124688	McGill0091	7	2
0	118095.124	McGill0091 118095124	McGill0091	8	2
0	118098.697	McGill0091 118098697	McGill0091	8	2
0	118100.037	McGill0091 118100037	McGill0091	8	2
0	118120.464	McGill0091 118120464	McGill0091	8	2
0	118122.126	McGill0091 118122126	McGill0091	8	2
0	118123.132	McGill0091 118123132	McGill0091	8	2
0	118123.773	McGill0091 118123773	McGill0091	8	2
0	118124.688	McGill0091 118124688	McGill0091	8	2
0	118095.124	McGill0091 118095124	McGill0091	9	2
0	118098.697	McGill0091 118098697	McGill0091	9	2
0	118100.037	McGill0091 118100037	McGill0091	9	2
0	118101.099	McGill0091 118101099	McGill0091	9	2
0	118120.464	McGill0091 118120464	McGill0091	9	2
0	118122.126	McGill0091 118122126	McGill0091	9	2
0	118123.132	McGill0091 118123132	McGill0091	9	2
0	118123.773	McGill0091 118123773	McGill0091	9	2
0	118124.688	McGill0091 118124688	McGill0091	9	2
0	118122.389	McGill0322 118122389	McGill0322	1	3
0	118122.396	McGill0322 118122396	McGill0322	2	3
